,name,sex,births,year
1016,Michael,M,988,1992
1017,Emily,F,719,1992
1018,Jamie,M,185,1992
1019,Angela,F,137,1992
1020,Benjamin,M,922,1992
1021,Emma,F,655,1992
1022,Jeremy,M,185,1992
1023,Jacqueline,F,136,1992
1024,Christopher,M,900,1992
1025,Stephanie,F,572,1992
1026,Jackson,M,182,1992
1027,Claire,F,132,1992
1028,Mitchell,M,819,1992
1029,Amy,F,516,1992
1030,Ethan,M,182,1992
1031,Amelia,F,129,1992
1032,Thomas,M,801,1992
1033,Laura,F,466,1992
1034,Rhys,M,181,1992
1035,Tegan,F,128,1992
1036,Luke,M,760,1992
1037,Hannah,F,402,1992
1038,Simon,M,177,1992
1039,Tiffany,F,128,1992
1040,Nicholas,M,709,1992
1041,Nicole,F,388,1992
1042,Hayden,M,169,1992
1043,Taylor,F,126,1992
1044,Nathan,M,704,1992
1045,Rachel,F,383,1992
1046,Shane,M,162,1992
1047,Paige,F,123,1992
1048,Alexander,M,692,1992
1049,Ashleigh,F,359,1992
1050,Sam,M,156,1992
1051,Holly,F,123,1992
1052,Samuel,M,652,1992
1053,Kate,F,341,1992
1054,Richard,M,150,1992
1055,Rebekah,F,123,1992
1056,David,M,590,1992
1057,Melissa,F,340,1992
1058,Shaun,M,148,1992
1059,Nicola,F,122,1992
1060,Ryan,M,555,1992
1061,Natalie,F,340,1992
1062,Adrian,M,142,1992
1063,Madeline,F,121,1992
1064,Jake,M,549,1992
1065,Alexandra,F,323,1992
1066,Edward,M,141,1992
1067,Gabrielle,F,121,1992
1068,Timothy,M,503,1992
1069,Danielle,F,321,1992
1070,Angus,M,139,1992
1071,Charlotte,F,120,1992
1072,Aaron,M,492,1992
1073,Elizabeth,F,292,1992
1074,Kevin,M,139,1992
1075,Rhiannon,F,120,1992
1076,Adam,M,492,1992
1077,Amanda,F,290,1992
1078,Harley,M,134,1992
1079,Stacey,F,118,1992
1080,Jack,M,487,1992
1081,Natasha,F,284,1992
1082,Phillip,M,132,1992
1083,Alana,F,117,1992
1084,Dylan,M,486,1992
1085,Chloe,F,284,1992
1086,Trent,M,127,1992
1087,Casey,F,117,1992
1088,Blake,M,482,1992
1089,Hayley,F,283,1992
1090,George,M,126,1992
1091,Victoria,F,117,1992
1092,Jacob,M,462,1992
1093,Cassandra,F,273,1992
1094,Ben,M,126,1992
1095,Shannon,F,116,1992
1096,Cameron,M,423,1992
1097,Sophie,F,273,1992
1098,Reece,M,125,1992
1099,Ashlee,F,116,1992
1100,Matthew,M,1438,1991
1101,Jessica,F,1724,1991
1102,Simon,M,207,1991
1103,Tara,F,138,1991
1104,Daniel,M,1374,1991
1105,Sarah,F,1024,1991
1106,Corey,M,204,1991
1107,Kelly,F,137,1991
1108,James,M,1186,1991
1109,Emma,F,736,1991
1110,Jamie,M,201,1991
1111,Melanie,F,133,1991
1112,Joshua,M,1185,1991
1113,Rebecca,F,736,1991
1114,Paul,M,200,1991
1115,Amelia,F,131,1991
1116,Christopher,M,1017,1991
1117,Samantha,F,719,1991
1118,Jonathan,M,195,1991
1119,Alana,F,131,1991
1120,Michael,M,992,1991
1121,Emily,F,635,1991
1122,Liam,M,190,1991
1123,Kimberley,F,130,1991
1124,Benjamin,M,939,1991
1125,Stephanie,F,570,1991
1126,Hayden,M,174,1991
1127,Angela,F,128,1991
1128,Andrew,M,867,1991
1129,Amy,F,452,1991
1130,Jeremy,M,168,1991
1131,Jasmine,F,126,1991
1132,Thomas,M,848,1991
1133,Melissa,F,436,1991
1134,Alex,M,167,1991
1135,Holly,F,125,1991
1136,Luke,M,837,1991
1137,Laura,F,432,1991
1138,Ethan,M,162,1991
1139,Kirsty,F,124,1991
1140,Mitchell,M,820,1991
1141,Rachel,F,423,1991
1142,Shane,M,161,1991
1143,Jacqueline,F,124,1991
1144,Nicholas,M,688,1991
1145,Nicole,F,407,1991
1146,Sam,M,160,1991
1147,Louise,F,120,1991
1148,Samuel,M,646,1991
1149,Ashleigh,F,380,1991
1150,Zachary,M,160,1991
1151,Tamara,F,118,1991
1152,David,M,620,1991
1153,Kate,F,350,1991
1154,Phillip,M,153,1991
1155,Crystal,F,117,1991
1156,Alexander,M,609,1991
1157,Hannah,F,336,1991
1158,Richard,M,148,1991
1159,Rhiannon,F,117,1991
1160,Nathan,M,597,1991
1161,Alexandra,F,332,1991
1162,Shaun,M,147,1991
1163,Amber,F,117,1991
1164,Ryan,M,538,1991
1165,Natalie,F,332,1991
1166,George,M,146,1991
1167,Catherine,F,116,1991
1168,Adam,M,519,1991
1169,Amanda,F,325,1991
1170,Jackson,M,139,1991
1171,Casey,F,116,1991
1172,Timothy,M,501,1991
1173,Hayley,F,322,1991
1174,Trent,M,137,1991
1175,Kristy,F,115,1991
1176,Jake,M,493,1991
1177,Elizabeth,F,316,1991
1178,Edward,M,136,1991
1179,Monique,F,115,1991
1180,Aaron,M,449,1991
1181,Sophie,F,295,1991
1182,Adrian,M,136,1991
1183,Tegan,F,113,1991
1184,Jason,M,400,1991
1185,Danielle,F,284,1991
1186,Jarrod,M,136,1991
1187,Belinda,F,112,1991
1188,Jacob,M,396,1991
1189,Brooke,F,267,1991
1190,Ben,M,133,1991
1191,Alice,F,112,1991
1192,Anthony,M,393,1991
1193,Michelle,F,267,1991
1194,Todd,M,130,1991
1195,Jessie,F,112,1991
1196,Blake,M,382,1991
1197,Kayla,F,251,1991
1198,Beau,M,129,1991
1199,Kathryn,F,109,1991
1200,Matthew,M,1527,1990
1201,Jessica,F,1736,1990
1202,Rhys,M,203,1990
1203,Katie,F,154,1990
1204,Daniel,M,1442,1990
1205,Sarah,F,1006,1990
1206,Simon,M,200,1990
1207,Lucy,F,153,1990
1208,Joshua,M,1283,1990
1209,Emma,F,848,1990
1210,Kyle,M,195,1990
1211,Rachael,F,149,1990
1212,Michael,M,1183,1990
1213,Samantha,F,729,1990
1214,Jordan,M,184,1990
1215,Jenna,F,144,1990
1216,Christopher,M,1148,1990
1217,Rebecca,F,693,1990
1218,Jeremy,M,183,1990
1219,Stacey,F,140,1990
1220,James,M,1132,1990
1221,Lauren,F,579,1990
1222,Liam,M,174,1990
1223,Grace,F,140,1990
1224,Benjamin,M,1030,1990
1225,Stephanie,F,547,1990
1226,Jonathan,M,171,1990
1227,Tegan,F,139,1990
1228,Andrew,M,955,1990
1229,Amy,F,544,1990
1230,Shaun,M,167,1990
1231,Jacqueline,F,137,1990
1232,Luke,M,856,1990
1233,Emily,F,531,1990
1234,Corey,M,167,1990
1235,Amber,F,136,1990
1236,Mitchell,M,836,1990
1237,Nicole,F,487,1990
1238,Richard,M,166,1990
1239,Casey,F,134,1990
1240,Thomas,M,819,1990
1241,Melissa,F,483,1990
1242,Adrian,M,158,1990
1243,Ashlee,F,133,1990
1244,David,M,749,1990
1245,Laura,F,473,1990
1246,Trent,M,149,1990
1247,Jessie,F,133,1990
1248,Nicholas,M,702,1990
1249,Ashleigh,F,418,1990
1250,Zachary,M,144,1990
1251,Monique,F,132,1990
1252,Nathan,M,674,1990
1253,Amanda,F,414,1990
1254,Ben,M,140,1990
1255,Kathryn,F,130,1990
1256,Samuel,M,659,1990
1257,Natalie,F,378,1990
1258,Ashley,M,132,1990
1259,Jasmine,F,130,1990
1260,Adam,M,624,1990
1261,Kate,F,373,1990
1262,George,M,130,1990
1263,Aimee,F,126,1990
1264,Timothy,M,623,1990
1265,Hannah,F,363,1990
1266,Brett,M,129,1990
1267,Catherine,F,126,1990
1268,Ryan,M,579,1990
1269,Rachel,F,340,1990
1270,Todd,M,128,1990
1271,Victoria,F,124,1990
1272,Alexander,M,516,1990
1273,Alexandra,F,340,1990
1274,Alex,M,128,1990
1275,Simone,F,124,1990
1276,Aaron,M,472,1990
1277,Elizabeth,F,330,1990
1278,Sam,M,128,1990
1279,Amelia,F,122,1990
1280,Robert,M,439,1990
1281,Danielle,F,329,1990
1282,Beau,M,127,1990
1283,Renee,F,121,1990
1284,John,M,431,1990
1285,Hayley,F,316,1990
1286,Phillip,M,126,1990
1287,Jamie,F,121,1990
1288,Scott,M,417,1990
1289,Michelle,F,293,1990
1290,Edward,M,122,1990
1291,Sally,F,119,1990
1292,Justin,M,397,1990
1293,Ashley,F,288,1990
1294,Damien,M,122,1990
1295,Georgia,F,119,1990
1296,Mark,M,395,1990
1297,Lisa,F,270,1990
1298,Kurt,M,120,1990
1299,Holly,F,116,1990
1300,William,M,730,2009
1301,Isabella,F,604,2009
1302,Angus,M,188,2009
1303,Maya,F,128,2009
1304,Jack,M,645,2009
1305,Chloe,F,593,2009
1306,Nathan,M,182,2009
1307,Paige,F,128,2009
1308,Lachlan,M,600,2009
1309,Charlotte,F,564,2009
1310,Cameron,M,181,2009
1311,Jade,F,127,2009
1312,Cooper,M,588,2009
1313,Olivia,F,554,2009
1314,Nate,M,174,2009
1315,Mikayla,F,126,2009
1316,Joshua,M,576,2009
1317,Mia,F,548,2009
1318,Elijah,M,174,2009
1319,Anna,F,119,2009
1320,Thomas,M,566,2009
1321,Emily,F,507,2009
1322,Aidan,M,171,2009
1323,Ivy,F,115,2009
1324,Oliver,M,554,2009
1325,Sophie,F,478,2009
1326,Caleb,M,169,2009
1327,Imogen,F,113,2009
1328,Noah,M,531,2009
1329,Ella,F,478,2009
1330,Mitchell,M,167,2009
1331,Alexis,F,110,2009
1332,Ethan,M,505,2009
1333,Sienna,F,477,2009
1334,Kai,M,167,2009
1335,Sofia,F,110,2009
1336,Riley,M,501,2009
1337,Amelia,F,465,2009
1338,Gabriel,M,165,2009
1339,Kayla,F,110,2009
1340,James,M,494,2009
1341,Ruby,F,464,2009
1342,Marcus,M,164,2009
1343,Gabriella,F,110,2009
1344,Lucas,M,489,2009
1345,Ava,F,455,2009
1346,Anthony,M,158,2009
1347,Amber,F,109,2009
1348,Samuel,M,473,2009
1349,Lily,F,441,2009
1350,Hunter,M,158,2009
1351,Stella,F,108,2009
1352,Benjamin,M,460,2009
1353,Grace,F,402,2009
1354,Alex,M,158,2009
1355,Keira,F,107,2009
1356,Daniel,M,420,2009
1357,Jessica,F,340,2009
1358,Andrew,M,157,2009
1359,Phoebe,F,106,2009
1360,Liam,M,401,2009
1361,Matilda,F,328,2009
1362,Callum,M,157,2009
1363,Eliza,F,105,2009
1364,Max,M,395,2009
1365,Zoe,F,313,2009
1366,Patrick,M,155,2009
1367,Taylor,F,105,2009
1368,Alexander,M,388,2009
1369,Hannah,F,300,2009
1370,Toby,M,154,2009
1371,Amelie,F,102,2009
1372,Ryan,M,377,2009
1373,Emma,F,271,2009
1374,Hamish,M,153,2009
1375,Poppy,F,99,2009
1376,Jacob,M,371,2009
1377,Sarah,F,266,2009
1378,Sebastian,M,153,2009
1379,Alice,F,98,2009
1380,Isaac,M,349,2009
1381,Georgia,F,249,2009
1382,Luca,M,151,2009
1383,Angelina,F,98,2009
1384,Matthew,M,339,2009
1385,Jasmine,F,246,2009
1386,Zac,M,145,2009
1387,Madeline,F,98,2009
1388,Jayden,M,328,2009
1389,Lucy,F,246,2009
1390,Jett,M,143,2009
1391,Amy,F,98,2009
1392,Charlie,M,309,2009
1393,Zara,F,226,2009
1394,George,M,142,2009
1395,Alexandra,F,97,2009
1396,Tyler,M,295,2009
1397,Sophia,F,221,2009
1398,Charles,M,140,2009
1399,Isabel,F,97,2009
1400,Jack,M,665,2008
1401,Mia,F,548,2008
1402,Aidan,M,156,2008
1403,Bella,F,113,2008
1404,William,M,660,2008
1405,Chloe,F,544,2008
1406,Zachary,M,156,2008
1407,Layla,F,112,2008
1408,Lachlan,M,581,2008
1409,Isabella,F,513,2008
1410,Ashton,M,154,2008
1411,Phoebe,F,111,2008
1412,Joshua,M,563,2008
1413,Emily,F,507,2008
1414,Anthony,M,152,2008
1415,Isabel,F,110,2008
1416,Cooper,M,533,2008
1417,Olivia,F,490,2008
1418,Patrick,M,152,2008
1419,Caitlin,F,109,2008
1420,Riley,M,492,2008
1421,Ella,F,467,2008
1422,Sebastian,M,150,2008
1423,Keira,F,108,2008
1424,Thomas,M,479,2008
1425,Charlotte,F,458,2008
1426,Andrew,M,146,2008
1427,Angelina,F,103,2008
1428,Oliver,M,473,2008
1429,Sienna,F,412,2008
1430,Kai,M,141,2008
1431,Gabriella,F,103,2008
1432,James,M,460,2008
1433,Sophie,F,410,2008
1434,Toby,M,140,2008
1435,Lauren,F,102,2008
1436,Benjamin,M,459,2008
1437,Ava,F,401,2008
1438,Xavier,M,140,2008
1439,Mackenzie,F,102,2008
1440,Ethan,M,456,2008
1441,Amelia,F,395,2008
1442,Cody,M,134,2008
1443,Annabelle,F,100,2008
1444,Daniel,M,407,2008
1445,Grace,F,372,2008
1446,Hunter,M,132,2008
1447,Madeleine,F,99,2008
1448,Noah,M,398,2008
1449,Lily,F,341,2008
1450,Caleb,M,130,2008
1451,Kayla,F,98,2008
1452,Samuel,M,398,2008
1453,Matilda,F,339,2008
1454,David,M,129,2008
1455,Abbey,F,96,2008
1456,Liam,M,388,2008
1457,Ruby,F,336,2008
1458,Marcus,M,129,2008
1459,Anna,F,96,2008
1460,Ryan,M,364,2008
1461,Jessica,F,316,2008
1462,George,M,128,2008
1463,Stephanie,F,96,2008
1464,Alexander,M,363,2008
1465,Zoe,F,315,2008
1466,Jesse,M,128,2008
1467,Laura,F,94,2008
1468,Max,M,337,2008
1469,Hannah,F,305,2008
1470,Christopher,M,127,2008
1471,Natalie,F,94,2008
1472,Jacob,M,334,2008
1473,Sarah,F,275,2008
1474,Aaron,M,122,2008
1475,Sofia,F,94,2008
1476,Jayden,M,329,2008
1477,Emma,F,260,2008
1478,Hamish,M,122,2008
1479,Alexandra,F,93,2008
1480,Matthew,M,312,2008
1481,Georgia,F,233,2008
1482,Levi,M,122,2008
1483,Alexis,F,93,2008
1484,Lucas,M,308,2008
1485,Jasmine,F,229,2008
1486,Alex,M,116,2008
1487,Stella,F,93,2008
1488,Isaac,M,303,2008
1489,Lucy,F,207,2008
1490,Charles,M,116,2008
1491,Savannah,F,92,2008
1492,Luke,M,282,2008
1493,Madison,F,204,2008
1494,Finn,M,110,2008
1495,Isla,F,91,2008
1496,Nicholas,M,278,2008
1497,Sophia,F,194,2008
1498,Joel,M,109,2008
1499,Amelie,F,89,2008
1500,Jack,M,707,2007
1501,Isabella,F,531,2007
1502,Toby,M,161,2007
1503,Maya,F,113,2007
1504,William,M,643,2007
1505,Ella,F,517,2007
1506,Aidan,M,158,2007
1507,Summer,F,113,2007
1508,Joshua,M,629,2007
1509,Emily,F,508,2007
1510,Alex,M,156,2007
1511,Kiara,F,113,2007
1512,Lachlan,M,601,2007
1513,Chloe,F,469,2007
1514,Christopher,M,156,2007
1515,Angelina,F,112,2007
1516,Thomas,M,591,2007
1517,Mia,F,460,2007
1518,Ashton,M,150,2007
1519,Natalie,F,111,2007
1520,Riley,M,506,2007
1521,Olivia,F,455,2007
1522,Xavier,M,147,2007
1523,Phoebe,F,111,2007
1524,Cooper,M,502,2007
1525,Charlotte,F,431,2007
1526,Andrew,M,145,2007
1527,Molly,F,108,2007
1528,James,M,455,2007
1529,Sophie,F,402,2007
1530,Connor,M,144,2007
1531,Abbey,F,106,2007
1532,Noah,M,440,2007
1533,Sienna,F,380,2007
1534,Sebastian,M,136,2007
1535,Eliza,F,104,2007
1536,Ethan,M,436,2007
1537,Jessica,F,371,2007
1538,Cody,M,132,2007
1539,Anna,F,103,2007
1540,Daniel,M,432,2007
1541,Ava,F,370,2007
1542,Marcus,M,130,2007
1543,Sofia,F,102,2007
1544,Oliver,M,427,2007
1545,Lily,F,365,2007
1546,Aiden,M,129,2007
1547,Kate,F,100,2007
1548,Ryan,M,423,2007
1549,Hannah,F,356,2007
1550,Hunter,M,128,2007
1551,Mikayla,F,97,2007
1552,Samuel,M,419,2007
1553,Grace,F,318,2007
1554,Jonathan,M,125,2007
1555,Madeleine,F,97,2007
1556,Benjamin,M,377,2007
1557,Amelia,F,317,2007
1558,Seth,M,124,2007
1559,Isabel,F,95,2007
1560,Matthew,M,375,2007
1561,Sarah,F,303,2007
1562,John,M,122,2007
1563,Layla,F,95,2007
1564,Liam,M,369,2007
1565,Ruby,F,284,2007
1566,Charles,M,121,2007
1567,Kayla,F,94,2007
1568,Lucas,M,365,2007
1569,Zoe,F,284,2007
1570,Caleb,M,120,2007
1571,Amber,F,93,2007
1572,Alexander,M,363,2007
1573,Georgia,F,276,2007
1574,Joel,M,120,2007
1575,Ashley,F,93,2007
1576,Jayden,M,350,2007
1577,Emma,F,271,2007
1578,Kai,M,119,2007
1579,Savannah,F,93,2007
1580,Jacob,M,344,2007
1581,Jasmine,F,231,2007
1582,Callum,M,116,2007
1583,Ellie,F,92,2007
1584,Luke,M,340,2007
1585,Lucy,F,212,2007
1586,Zac,M,116,2007
1587,Rachel,F,91,2007
1588,Nicholas,M,317,2007
1589,Madison,F,199,2007
1590,Mason,M,115,2007
1591,Gabrielle,F,90,2007
1592,Harrison,M,299,2007
1593,Sophia,F,193,2007
1594,David,M,112,2007
1595,Mackenzie,F,89,2007
1596,Isaac,M,263,2007
1597,Chelsea,F,191,2007
1598,George,M,112,2007
1599,Alexandra,F,89,2007
1600,Jack,M,720,2006
1601,Chloe,F,519,2006
1602,Andrew,M,158,2006
1603,Paige,F,106,2006
1604,Joshua,M,660,2006
1605,Charlotte,F,488,2006
1606,Anthony,M,157,2006
1607,Mackenzie,F,104,2006
1608,William,M,625,2006
1609,Ella,F,475,2006
1610,Sebastian,M,154,2006
1611,Mikayla,F,104,2006
1612,Lachlan,M,605,2006
1613,Emily,F,474,2006
1614,Tony,M,154,2006
1615,Brooke,F,103,2006
1616,Thomas,M,569,2006
1617,Olivia,F,465,2006
1618,Christopher,M,152,2006
1619,Kate,F,103,2006
1620,James,M,531,2006
1621,Jessica,F,440,2006
1622,Caleb,M,147,2006
1623,Annabelle,F,102,2006
1624,Daniel,M,457,2006
1625,Isabella,F,415,2006
1626,Joel,M,137,2006
1627,Abigail,F,100,2006
1628,Noah,M,413,2006
1629,Mia,F,394,2006
1630,Marcus,M,136,2006
1631,Lilly,F,100,2006
1632,Ryan,M,408,2006
1633,Sophie,F,383,2006
1634,Aidan,M,135,2006
1635,Eliza,F,98,2006
1636,Ethan,M,404,2006
1637,Sienna,F,332,2006
1638,Henry,M,133,2006
1639,Ellie,F,97,2006
1640,Benjamin,M,398,2006
1641,Amelia,F,317,2006
1642,Alex,M,131,2006
1643,Natalie,F,97,2006
1644,Samuel,M,392,2006
1645,Grace,F,314,2006
1646,Callum,M,129,2006
1647,Zara,F,97,2006
1648,Cooper,M,389,2006
1649,Hannah,F,311,2006
1650,Seth,M,126,2006
1651,Eva,F,96,2006
1652,Alexander,M,380,2006
1653,Lily,F,306,2006
1654,Kai,M,125,2006
1655,Amber,F,94,2006
1656,Liam,M,378,2006
1657,Georgia,F,288,2006
1658,Aiden,M,124,2006
1659,Claire,F,94,2006
1660,Matthew,M,378,2006
1661,Sarah,F,284,2006
1662,Hamish,M,120,2006
1663,Scarlett,F,93,2006
1664,Luke,M,367,2006
1665,Ava,F,283,2006
1666,David,M,119,2006
1667,Summer,F,93,2006
1668,Oliver,M,354,2006
1669,Zoe,F,264,2006
1670,Charles,M,118,2006
1671,Ashley,F,89,2006
1672,Nicholas,M,339,2006
1673,Emma,F,262,2006
1674,Jonathan,M,118,2006
1675,Isabel,F,88,2006
1676,Jacob,M,324,2006
1677,Jasmine,F,244,2006
1678,Sean,M,118,2006
1679,Stephanie,F,88,2006
1680,Riley,M,320,2006
1681,Ruby,F,229,2006
1682,Brodie,M,116,2006
1683,Brianna,F,87,2006
1684,Harrison,M,309,2006
1685,Hayley,F,198,2006
1686,Cody,M,113,2006
1687,Kiara,F,87,2006
1688,Jake,M,280,2006
1689,Sophia,F,192,2006
1690,George,M,113,2006
1691,Madeleine,F,84,2006
1692,Lucas,M,275,2006
1693,Lucy,F,189,2006
1694,Brayden,M,112,2006
1695,Claudia,F,83,2006
1696,Jayden,M,268,2006
1697,Chelsea,F,181,2006
1698,Dominic,M,112,2006
1699,Makayla,F,83,2006
1700,Jack,M,900,2005
1701,Olivia,F,566,2005
1702,Caleb,M,167,2005
1703,Phoebe,F,116,2005
1704,Lachlan,M,743,2005
1705,Charlotte,F,561,2005
1706,Lucas,M,167,2005
1707,Tara,F,116,2005
1708,William,M,689,2005
1709,Emily,F,553,2005
1710,Joel,M,159,2005
1711,Abigail,F,112,2005
1712,Joshua,M,687,2005
1713,Chloe,F,527,2005
1714,Alex,M,157,2005
1715,Claudia,F,111,2005
1716,Thomas,M,673,2005
1717,Ella,F,524,2005
1718,Sebastian,M,154,2005
1719,Ellie,F,111,2005
1720,James,M,577,2005
1721,Jessica,F,500,2005
1722,Aidan,M,153,2005
1723,Matilda,F,111,2005
1724,Ryan,M,527,2005
1725,Isabella,F,484,2005
1726,Christopher,M,150,2005
1727,Angelina,F,109,2005
1728,Daniel,M,525,2005
1729,Sophie,F,445,2005
1730,Aiden,M,142,2005
1731,Anna,F,107,2005
1732,Matthew,M,477,2005
1733,Mia,F,374,2005
1734,Jesse,M,141,2005
1735,Stephanie,F,106,2005
1736,Samuel,M,476,2005
1737,Emma,F,364,2005
1738,Brayden,M,140,2005
1739,Natasha,F,106,2005
1740,Ethan,M,470,2005
1741,Grace,F,363,2005
1742,Aaron,M,136,2005
1743,Mackenzie,F,104,2005
1744,Luke,M,450,2005
1745,Sarah,F,349,2005
1746,Cody,M,133,2005
1747,Kate,F,104,2005
1748,Benjamin,M,442,2005
1749,Hannah,F,322,2005
1750,Henry,M,132,2005
1751,Zara,F,104,2005
1752,Nicholas,M,441,2005
1753,Sienna,F,321,2005
1754,Dominic,M,132,2005
1755,Jorja,F,102,2005
1756,Liam,M,431,2005
1757,Lily,F,317,2005
1758,Marcus,M,130,2005
1759,Mikayla,F,102,2005
1760,Noah,M,428,2005
1761,Amelia,F,314,2005
1762,Toby,M,129,2005
1763,Amber,F,101,2005
1764,Alexander,M,411,2005
1765,Georgia,F,309,2005
1766,George,M,128,2005
1767,Abby,F,100,2005
1768,Jacob,M,400,2005
1769,Zoe,F,286,2005
1770,Ashton,M,122,2005
1771,Lilly,F,99,2005
1772,Dylan,M,378,2005
1773,Jasmine,F,280,2005
1774,John,M,121,2005
1775,Erin,F,99,2005
1776,Riley,M,347,2005
1777,Ruby,F,267,2005
1778,Callum,M,119,2005
1779,Brooke,F,98,2005
1780,Oliver,M,343,2005
1781,Hayley,F,256,2005
1782,Justin,M,118,2005
1783,Maya,F,96,2005
1784,Cooper,M,331,2005
1785,Ava,F,223,2005
1786,Xavier,M,115,2005
1787,Eliza,F,96,2005
1788,Jayden,M,312,2005
1789,Lucy,F,211,2005
1790,Declan,M,115,2005
1791,Eva,F,95,2005
1792,Harrison,M,306,2005
1793,Jade,F,210,2005
1794,Mason,M,113,2005
1795,Summer,F,95,2005
1796,Max,M,297,2005
1797,Caitlin,F,206,2005
1798,Zac,M,112,2005
1799,Rebecca,F,94,2005
1800,Jack,M,864,2004
1801,Emily,F,621,2004
1802,Christopher,M,172,2004
1803,Gabrielle,F,127,2004
1804,Joshua,M,792,2004
1805,Chloe,F,541,2004
1806,Sebastian,M,161,2004
1807,Sienna,F,126,2004
1808,Lachlan,M,776,2004
1809,Olivia,F,532,2004
1810,Logan,M,158,2004
1811,Mackenzie,F,124,2004
1812,Thomas,M,731,2004
1813,Sophie,F,511,2004
1814,Charlie,M,157,2004
1815,Natasha,F,123,2004
1816,William,M,666,2004
1817,Jessica,F,509,2004
1818,Aidan,M,154,2004
1819,Tara,F,123,2004
1820,James,M,608,2004
1821,Charlotte,F,502,2004
1822,Alex,M,153,2004
1823,Rachel,F,122,2004
1824,Ethan,M,592,2004
1825,Ella,F,471,2004
1826,Jesse,M,151,2004
1827,Brianna,F,122,2004
1828,Samuel,M,572,2004
1829,Isabella,F,460,2004
1830,Christian,M,148,2004
1831,Angelina,F,122,2004
1832,Daniel,M,572,2004
1833,Sarah,F,396,2004
1834,John,M,148,2004
1835,Isabelle,F,121,2004
1836,Ryan,M,546,2004
1837,Emma,F,392,2004
1838,Cody,M,146,2004
1839,Mikayla,F,119,2004
1840,Benjamin,M,499,2004
1841,Grace,F,386,2004
1842,George,M,145,2004
1843,Taylah,F,119,2004
1844,Nicholas,M,496,2004
1845,Mia,F,384,2004
1846,David,M,143,2004
1847,Ashleigh,F,116,2004
1848,Matthew,M,492,2004
1849,Hannah,F,363,2004
1850,Callum,M,143,2004
1851,Alexandra,F,115,2004
1852,Luke,M,489,2004
1853,Georgia,F,353,2004
1854,Justin,M,139,2004
1855,Kate,F,114,2004
1856,Liam,M,466,2004
1857,Jasmine,F,331,2004
1858,Ashton,M,138,2004
1859,Ava,F,113,2004
1860,Jacob,M,434,2004
1861,Lily,F,311,2004
1862,Lucas,M,137,2004
1863,Erin,F,112,2004
1864,Alexander,M,412,2004
1865,Amelia,F,259,2004
1866,Zac,M,137,2004
1867,Maya,F,110,2004
1868,Riley,M,390,2004
1869,Zoe,F,258,2004
1870,Brandon,M,136,2004
1871,Taylor,F,103,2004
1872,Dylan,M,384,2004
1873,Hayley,F,238,2004
1874,Hamish,M,135,2004
1875,Paris,F,101,2004
1876,Jayden,M,348,2004
1877,Ruby,F,226,2004
1878,Brock,M,135,2004
1879,Eliza,F,99,2004
1880,Jake,M,336,2004
1881,Madison,F,225,2004
1882,Marcus,M,131,2004
1883,Claire,F,98,2004
1884,Harrison,M,333,2004
1885,Jade,F,220,2004
1886,Peter,M,129,2004
1887,Ebony,F,98,2004
1888,Oliver,M,329,2004
1889,Holly,F,218,2004
1890,Flynn,M,129,2004
1891,Victoria,F,97,2004
1892,Cooper,M,319,2004
1893,Maddison,F,216,2004
1894,Kyle,M,123,2004
1895,Abigail,F,96,2004
1896,Max,M,318,2004
1897,Alyssa,F,214,2004
1898,Charles,M,121,2004
1899,Ellie,F,96,2004
1900,Joshua,M,689,2003
1901,Emily,F,560,2003
1902,Marcus,M,105,2003
1903,Isabelle,F,84,2003
1904,Jack,M,679,2003
1905,Jessica,F,486,2003
1906,Blake,M,104,2003
1907,Madeleine,F,83,2003
1908,Lachlan,M,586,2003
1909,Chloe,F,404,2003
1910,Jonathan,M,104,2003
1911,Lauren,F,83,2003
1912,Thomas,M,558,2003
1913,Isabella,F,373,2003
1914,Charlie,M,102,2003
1915,Annabelle,F,83,2003
1916,William,M,507,2003
1917,Sarah,F,369,2003
1918,Angus,M,101,2003
1919,Mikayla,F,83,2003
1920,Daniel,M,484,2003
1921,Emma,F,333,2003
1922,Brandon,M,100,2003
1923,Amelia,F,82,2003
1924,Benjamin,M,466,2003
1925,Georgia,F,327,2003
1926,Jeremy,M,100,2003
1927,Madeline,F,81,2003
1928,Nicholas,M,435,2003
1929,Grace,F,322,2003
1930,Hamish,M,99,2003
1931,Eliza,F,80,2003
1932,Matthew,M,429,2003
1933,Ella,F,300,2003
1934,Declan,M,99,2003
1935,Paris,F,80,2003
1936,Samuel,M,407,2003
1937,Charlotte,F,284,2003
1938,George,M,96,2003
1939,Kate,F,78,2003
1940,Liam,M,384,2003
1941,Mia,F,235,2003
1942,Zac,M,94,2003
1943,Monique,F,77,2003
1944,Luke,M,352,2003
1945,Lily,F,230,2003
1946,Timothy,M,93,2003
1947,Jacinta,F,76,2003
1948,Ryan,M,348,2003
1949,Zoe,F,227,2003
1950,Cody,M,92,2003
1951,Gemma,F,76,2003
1952,Jayden,M,309,2003
1953,Jasmine,F,207,2003
1954,Bradley,M,89,2003
1955,Victoria,F,75,2003
1956,Jordan,M,289,2003
1957,Olivia,F,205,2003
1958,Ali,M,88,2003
1959,Alana,F,74,2003
1960,Alexander,M,285,2003
1961,Jade,F,184,2003
1962,Harry,M,86,2003
1963,Tayla,F,73,2003
